DateTime,AddedIPs,RemovedIPs
1592811853,1,0
1592819554,1,0
1592827406,0,1
1592831311,0,1
1592838979,0,1
1592852593,0,1
1592862283,0,1
1592866120,0,1
1592868012,1,0
1592871852,1,0
1592873787,0,1
1592897323,0,1
1592899418,0,1
1592901384,0,1
1592916732,0,2
1592920571,0,1
1592922507,0,1
1592924635,0,3
1592930419,1,0
1592938098,1,0
1592945829,1,0
1592950830,0,1
1592958488,0,1
1592962588,4,0
1592968328,1,0
1592976262,0,1
1592986115,1,0
1592988017,1,0
1592995703,1,0
1592999536,1,0
1593007489,1,0
1593011307,1,0
1593017059,0,1
1593020974,1,0
1593026656,3,0
1593028598,1,0
1593048037,0,2
1593049935,0,2
1593053779,0,1
1593057907,1,0
1593065810,0,1
1593073487,1,0
1593075405,1,1
1593079471,1,0
1593081370,1,0
1593089111,1,0
1593093156,0,1
1593100960,1,1
1593102971,2,0
1593104961,1,0
1593106810,0,1
1593108807,1,0
1593114514,0,2
1593118330,0,1
1593128188,1,0
1593132011,1,0
1593135853,8,0
1593143422,0,1
1593155777,0,1
1593157696,1,0
1593161534,0,1
1593165398,0,1
1593169373,1,0
1593171371,0,1
1593175215,0,2
1593182995,0,1
1593184937,0,1
1593188785,0,1
1593190588,0,1
1593195786,0,1
1593199576,1,0
1593206187,1,0
1593210074,3,0
1593211953,2,0
1593213878,1,1
1593217699,1,1
1593239293,1,0
1593245294,0,1
1593247297,1,0
1593254903,0,1
1593256815,1,4
1593258765,1,0
1593265000,0,2
1593266902,0,1
1593272736,0,1
1593284185,1,0
1593286145,1,0
1593292142,0,1
1593294011,0,1
1593303854,0,1
1593307693,1,0
1593310591,0,1
1593312499,2,0
1593316336,1,0
1593320261,1,0
1593326197,0,2
1593330016,1,0
1593339612,1,0
1593343453,0,2
1593347336,1,1
1593353065,0,1
1593362657,0,1
1593366519,0,1
1593370335,1,0
1593376090,0,1
1593382816,1,1
1593384734,2,0
1593394595,0,1
1593398419,0,1
1593400360,0,1
1593404424,0,1
1593406380,0,1
1593412100,0,1
1593416230,0,1
1593422229,0,1
1593426019,0,1
1593433737,1,1
1593437792,1,0
1593443557,1,0
1593445452,1,0
1593455073,2,0
1593462988,0,1
1593470652,1,0
1593472577,0,1
1593482209,1,0
1593499716,1,0
1593503530,1,0
1593505507,2,0
1593529165,1,1
1593536923,1,0
1593540759,2,2
1593542683,1,0
1593546734,0,3
1593552516,1,0
1593556573,0,1
1593560417,1,0
1593570042,0,1
1593573864,1,0
1593575890,1,0
1593585817,0,1
1593587866,1,0
1593589760,0,1
1593591737,0,1
1593601589,0,1
1593603430,1,0
1593605294,0,1
1593609422,0,1
1593615156,0,1
1593618996,1,0
1593623016,0,1
1593626927,0,2
1593636515,1,0
1593642258,0,1
1593644171,0,1
1593649000,0,1
1593659805,0,1
1593661708,0,1
1593679947,1,0
1593683782,1,0
1593685793,1,0
1593690025,1,0
1593693903,1,0
1593697696,1,0
1593705394,0,1
1593707309,1,0
1593712124,0,1
1593717906,1,0
1593721693,0,1
1593725821,1,0
1593733454,1,0
1593761779,0,1
1593765611,1,0
1593769486,1,1
1593771417,1,1
1593775243,0,2
1593777172,1,0
1593781005,0,1
1593782897,1,0
1593792736,1,1
1593804289,0,1
1593808099,1,0
1593817962,1,0
1593819855,0,1
1593827572,1,0
1593839317,1,0
1593841218,1,0
1593846973,1,0
1593852759,0,1
1593856577,2,1
1593860581,2,0
1593862594,1,1
1593866411,1,0
1593868356,1,1
1593874127,0,1
1593879878,0,1
1593893821,0,1
1593897622,1,0
1593899550,1,1
1593903401,0,1
1593907471,1,0
1593913217,0,1
1593920924,1,0
1593924753,1,0
1593926713,1,1
1593928594,0,1
1593940388,0,1
1593944230,0,1
1593946167,0,1
1593953809,0,1
1593955694,0,1
1593957878,0,1
1593961779,0,1
1593963614,2,0
1593983783,0,1
1593985697,0,1
1593989541,1,1
1593995295,0,1
1594007056,0,1
1594012815,1,1
1594014732,0,1
1594020491,1,0
1594028513,1,0
1594039938,1,0
1594045716,1,0
1594049823,0,2
1594055588,1,0
1594059371,0,1
1594075960,0,1
1594077881,1,0
1594079774,1,0
1594096107,1,0
1594098146,0,1
1594107654,1,1
1594113387,0,1
1594115291,2,0
1594124897,1,0
1594127088,1,0
1594135000,2,0
1594138819,0,1
1594142679,0,4
1594144608,0,1
1594146509,1,0
1594148587,1,0
1594150765,4,0
1594152863,2,0
1594156670,1,0
1594162409,7,0
1594173503,0,2
1594181689,0,1
1594189488,1,0
1594195441,1,0
1594197372,0,1
1594201244,0,1
1594205090,0,1
1594208921,1,0
1594212752,2,2
1594218506,1,0
1594222600,0,2
1594234136,0,1
1594239857,0,1
1594246582,1,0
1594248491,0,1
1594250444,1,0
1594256186,1,0
1594258094,0,6
1594264155,0,1
1594271817,1,0
1594274008,0,1
1594275895,0,1
1594297490,2,0
1594299406,0,2
1594303503,1,0
1594305446,0,1
1594326489,2,0
1594331551,1,1
1594333481,1,0
1594337295,5,1
1594341368,0,1
1594345214,1,0
1594349054,1,0
1594370417,0,1
1594378366,1,0
1594384121,1,1
1594387248,1,0
1594389148,1,1
1594400707,0,1
1594404536,2,0
1594406418,1,0
1594412178,0,2
1594414109,1,0
1594417934,0,1
1594419861,1,1
1594423721,0,1
1594429738,0,1
1594435456,0,1
1594441212,1,0
1594458769,3,0
1594464529,0,1
1594466417,2,0
1594470294,0,1
1594472180,0,1
1594476268,0,1
1594489946,0,2
1594491890,1,0
1594495698,0,3
1594501698,0,1
1594507476,0,1
1594509372,1,0
1594513218,1,0
1594515144,3,0
1594526917,0,1
1594531019,1,0
1594540599,3,0
1594548287,1,0
1594552123,0,3
1594554013,1,0
1594555935,1,0
1594557898,1,0
1594561703,1,1
1594575439,0,1
1594584977,1,0
1594592696,0,2
1594594575,1,0
1594596865,2,0
1594598716,1,1
1594600578,0,2
1594602609,0,1
1594610181,1,0
1594612107,1,0
1594615950,0,1
1594623876,1,0
1594627716,1,0
1594633460,1,0
1594635379,0,1
1594639216,0,1
1594643085,0,1
1594645003,2,1
1594649081,0,1
1594664441,1,0
1594668259,0,1
1594670216,0,1
1594680769,1,0
1594682685,1,2
1594684580,1,2
1594686520,0,1
1594692781,0,1
1594696739,0,1
1594698768,0,1
1594708503,1,0
1594714603,0,1
1594716532,0,1
1594726840,1,0
1594732841,0,3
1594744608,1,0
1594752252,1,0
1594761758,0,1
1594763564,0,3
1594765454,2,0
1594767370,0,3
1594769522,2,3
1594773635,1,1
1594783236,2,0
1594785135,1,0
1594793446,0,1
1594795252,1,0
1594811025,0,1
1594813060,0,1
1594816832,1,0
1594830498,0,1
1594833612,1,0
1594835532,1,0
1594837487,1,0
1594839420,0,1
1594849212,1,0
1594854988,0,1
1594856938,0,1
1594859066,0,1
1594868660,0,1
1594870573,0,1
1594882097,1,1
1594884287,1,0
1594891212,1,0
1594895090,1,1
1594898891,1,0
1594900967,1,0
1594902975,1,0
1594906860,1,0
1594915008,1,0
1594916900,1,0
1594918942,1,1
1594920762,0,1
1594922672,0,1
1594936591,0,1
1594942369,1,0
1594947133,1,0
1594964686,0,1
1594968495,0,1
1594974288,0,1
1594976204,3,0
1594978095,1,0
1594981265,0,2
1594985087,0,1
1594988892,1,1
1594993020,0,1
1594994909,1,0
1595000657,0,1
1595004523,1,1
1595006419,1,0
1595012170,1,0
1595023708,0,1
1595025667,0,1
1595027564,1,1
1595029459,1,0
1595031408,1,0
1595033335,0,1
1595035216,1,0
1595058254,1,0
1595062228,0,3
1595064281,0,1
1595076022,0,1
1595085620,1,0
1595087537,2,0
1595089494,0,2
1595097657,0,1
1595103404,0,1
1595105299,1,0
1595112975,0,1
1595117809,1,0
1595119699,0,1
1595121622,0,1
1595139163,1,0
1595144917,0,1
1595158380,1,0
1595171969,1,0
1595173963,0,1
1595175886,1,1
1595179694,1,0
1595185976,0,1
1595189787,1,0
1595191730,1,1
1595199377,2,0
1595203733,0,1
1595215218,1,0
1595217138,1,0
1595227253,0,1
1595236870,1,0
1595240684,1,0
1595246648,1,0
1595260122,0,1
1595262022,1,0
1595263988,2,0
1595265881,0,2
1595269722,1,0
1595275382,0,1
1595277372,1,0
1595283173,1,1
1595286978,0,2
1595302599,0,2
1595304504,1,0
1595306455,1,0
1595310257,0,1
1595323833,0,1
1595333564,1,1
1595335453,0,1
1595343138,1,0
1595345123,1,0
1595348892,0,1
1595351817,1,3
1595353720,0,2
1595355614,0,1
1595363290,1,0
1595365450,1,1
1595367375,0,1
1595373136,1,0
1595391455,0,1
1595393326,1,1
1595399143,1,0
1595407016,1,0
1595408896,2,0
1595410813,2,0
1595412770,3,0
1595414655,2,0
1595418535,1,0
1595420423,0,1
1595430215,0,1
1595432176,1,0
1595438216,0,1
1595440117,0,1
1595447802,2,0
1595451699,0,1
1595455638,1,0
1595463175,1,0
1595480619,0,1
1595484507,0,1
1595486416,1,0
1595490521,0,1
1595492413,3,0
1595494364,0,3
1595496284,0,1
1595498172,0,3
